PIC,SITE,DEPTH,GROUP,LABEL,Live_Non_live,Count
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8931,IUI_S,45,Hard Coral,Dipsastraea,Live,1
MKN8931,IUI_S,45,Hard Coral,Dipsastraea,Live,1
MKN8931,IUI_S,45,Hard Coral,HC_plate,Live,1
MKN8931,IUI_S,45,Hard Coral,Montipora,Live,1
MKN8931,IUI_S,45,Hard Coral,Montipora,Live,1
MKN8931,IUI_S,45,Hard Coral,Montipora,Live,1
MKN8931,IUI_S,45,Hard Coral,Porites,Live,1
MKN8931,IUI_S,45,Hard Coral,Stylophora,Live,1
MKN8931,IUI_S,45,Hard Coral,Stylophora,Live,1
MKN8931,IUI_S,45,Hard Coral,Stylophora,Live,1
MKN8931,IUI_S,45,Hard Coral,Stylophora,Live,1
MKN8931,IUI_S,45,Soft Coral,SC_Xeni,Live,1
MKN8931,IUI_S,45,Soft Coral,SC_Xeni,Live,1
MKN8931,IUI_S,45,Soft Coral,SC_Xeni,Live,1
MKN8931,IUI_S,45,Soft Coral,SC_Xeni,Live,1
MKN8931,IUI_S,45,CCA,CCA,Live,1
MKN8931,IUI_S,45,CCA,CCA,Live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8931,IUI_S,45,Substrate,Rock,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8931,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8936,IUI_S,45,Hard Coral,Stylophora,Live,1
MKN8936,IUI_S,45,Sponge,Spo_E,Live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8936,IUI_S,45,Substrate,Sand,Non_live,1
MKN8936,IUI_S,45,Substrate,Sand,Non_live,1
MKN8936,IUI_S,45,Substrate,Sand,Non_live,1
MKN8936,IUI_S,45,Substrate,Sand,Non_live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,Alveopora,Live,1
MKN8937,IUI_S,45,Hard Coral,HC_encr,Live,1
MKN8937,IUI_S,45,Hard Coral,HC_mas,Live,1
MKN8937,IUI_S,45,Hard Coral,Pachyseris,Live,1
MKN8937,IUI_S,45,Hard Coral,Para_peres,Live,1
MKN8937,IUI_S,45,Hard Coral,Para_peres,Live,1
MKN8937,IUI_S,45,Hard Coral,Para_peres,Live,1
MKN8937,IUI_S,45,Hard Coral,Stylophora,Live,1
MKN8937,IUI_S,45,Algae,AL_Macro,Live,1
MKN8937,IUI_S,45,Other,Unknown,Non_live,1
MKN8937,IUI_S,45,Other,Unknown,Non_live,1
MKN8937,IUI_S,45,Other,Unknown,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,RCTA,Non_live,1
MKN8937,IUI_S,45,Substrate,Rock,Non_live,1
MKN8937,IUI_S,45,Substrate,Rock,Non_live,1
MKN8937,IUI_S,45,Substrate,Rock,Non_live,1
MKN8937,IUI_S,45,Substrate,Rock,Non_live,1
MKN8937,IUI_S,45,Substrate,Rock,Non_live,1
MKN8937,IUI_S,45,Substrate,Rock,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
MKN8937,IUI_S,45,Substrate,Rubble,Non_live,1
