No.,Species,Colony,DEPTH,SITE,File,Time,DATE,TIME,PAR,fv_fm,Sigma,p,Pmax
1,Porites,1,45,IUI_S,20220712.01,N,12_07_2022,32942,418.32,0.4588,424.46,0.058,186.88
2,Porites,2,45,IUI_S,20220712.01,N,12_07_2022,33003,352.84,0.4344,497.54,0.074,114.78
3,Porites,3,45,IUI_S,20220712.02,N,12_07_2022,33072,361.14,0.4546,471.08,0.028,156.46
4,Porites,4,45,IUI_S,20220712.02,N,12_07_2022,33136,344.96,0.4096,618.18,0.164,270.3
5,Porites,5,45,IUI_S,20220712.03,N,12_07_2022,33207,382.88,0.4712,493.94,0.036,163.5
6,Porites,6,45,IUI_S,20220712.03,N,12_07_2022,33272,437.68,0.4612,488.48,0.12,190.18
7,Porites,7,45,IUI_S,20220712.04,N,12_07_2022,33340,308.7,0.3834,523.82,0.094,239.3
8,Stylophora,8,45,IUI_S,20220712.04,N,12_07_2022,33426,691.98,0.4788,423.66,0.172,91.72
9,Stylophora,9,45,IUI_S,20220712.05,N,12_07_2022,33497,405.34,0.5144,447.6,0.07,84.58
10,Stylophora,10,45,IUI_S,20220712.05,N,12_07_2022,33612,743.52,0.5222,311.06,0.286,110.52
11,Stylophora,11,45,IUI_S,20220712.06,N,12_07_2022,33700,532.86,0.4844,403.74,0.076,117.34
12,Leptoseris,12,45,IUI_S,20220712.06,N,12_07_2022,33794,447.32,0.343,366.94,0.014,117.06
13,Leptoseris,13,45,IUI_S,20220712.07,N,12_07_2022,33862,526.8,0.3622,455.28,0.118,87.98
14,Leptoseris,14,45,IUI_S,20220712.07,N,12_07_2022,33943,412.04,0.385,500.06,0.058,112.26
15,Leptoseris,15,45,IUI_S,20220712.08,N,12_07_2022,34055,317.6,0.3044,578.98,0.088,138.06
16,Leptoseris,16,45,IUI_S,20220712.08,N,12_07_2022,34107,475.82,0.3646,448.36,0.042,115.84
17,Leptoseris,17,45,IUI_S,20220712.09,N,12_07_2022,34197,517.1,0.285,365.94,0.006,125.82
18,Stylophora,18,45,IUI_S,20220712.09,N,12_07_2022,34264,544.58,0.5218,383.06,0.176,104.2
19,Stylophora,19,45,IUI_S,20220712.1,N,12_07_2022,34341,601.2,0.5078,304.8,0.142,110.34
20,Leptoseris,20,45,IUI_S,20220712.1,N,12_07_2022,34394,520.82,0.4112,392.38,0.08,104.96
21,Alveopora,21,45,IUI_S,20240806.01,N,06_08_2024,0.299664352,820.86,0.4876,319.24,0.14,120
22,Alveopora,22,45,IUI_S,20240806.01,N,06_08_2024,0.300520833,831.9333333,0.424666667,336.3666667,0.13,99.26666667
23,Alveopora,23,45,IUI_S,20240806.02,N,06_08_2024,0.303391204,900,0.4352,282.88,0.11,130.82
24,Alveopora,24,45,IUI_S,20240806.02,N,06_08_2024,0.304560185,889.125,0.4835,308.45,0.2275,118.164
25,Alveopora,25,45,IUI_S,20240806.03,N,06_08_2024,0.305763889,900,0.3512,300.16,0.194,111.06
26,Alveopora,26,45,IUI_S,20240806.03,N,06_08_2024,07:21:30,900,0.364,258.6,0.072,136.88
27,Alveopora,27,45,IUI_S,20240806.04,N,06_08_2024,0.307395833,900,0.3468,277.38,0.17,139.96
28,Alveopora,28,45,IUI_S,20240806.04,N,06_08_2024,0.308252315,900,0.369,311.14,0.184,127.42
29,Alveopora,29,45,IUI_S,20240806.05,N,06_08_2024,0.308981481,900,0.4406,270.44,0.148,116.04
30,Alveopora,30,45,IUI_S,20240806.05,N,06_08_2024,0.309722222,900,0.342,264.38,0.128,157.34
31,Stylophora,31,25,IUI_S,20220712.11,N,12_07_2022,34818,697.6,0.4434,368.88,0.104,126.92
32,Stylophora,32,25,IUI_S,20220712.11,N,12_07_2022,34927,689.3,0.4634,430.66,0.082,99.16
33,Stylophora,33,25,IUI_S,20220712.12,N,12_07_2022,35016,794.58,0.4508,434.24,0.122,175.12
34,Stylophora,34,25,IUI_S,20220712.12,N,12_07_2022,35082,778.34,0.4248,386.96,0.076,101.98
35,Stylophora,35,25,IUI_S,20220712.13,N,12_07_2022,35175,771.12,0.392,304.6,0.074,104.38
36,Porites,36,25,IUI_S,20220712.13,N,12_07_2022,35230,616.56,0.3418,546.26,0.172,176.1
37,Porites,37,25,IUI_S,20220712.14,N,12_07_2022,35311,412.02,0.4414,553.3,0.052,257.28
38,Porites,38,25,IUI_S,20220712.14,N,12_07_2022,35405,607.28,0.3282,510.34,0.062,129.98
39,Leptoseris,39,25,IUI_S,20220712.15,N,12_07_2022,35489,334.16,0.4416,552.74,0.096,238.02
40,Porites,40,25,IUI_S,20220712.15,N,12_07_2022,35617,831,0.343,471.82,0.122,137.44
41,Porites,41,25,IUI_S,20220712.16,N,12_07_2022,35699,793.3,0.2948,338.76,0.018,119.04
42,Porites,42,25,IUI_S,20220712.16,N,12_07_2022,35870,700.96,0.4052,416.14,0.074,170.84
43,Pocillopora,43,25,IUI_S,20220712.17,N,12_07_2022,35944,900,0.4044,276.02,0.044,178.06
44,Pocillopora,44,25,IUI_S,20220712.17,N,12_07_2022,36039,831.06,0.4394,322.14,0.07,118.86
45,Pocillopora,45,25,IUI_S,20220712.18,N,12_07_2022,36111,900,0.4034,365.32,0.012,216.52
46,Stylophora,46,25,IUI_S,20220712.18,N,12_07_2022,36202,870.26,0.3974,293.92,0.152,123.46
47,Pocillopora,47,5,IUI_S,20220712.19,N,12_07_2022,37119,821.34,0.4182,357.48,0.102,219.16
48,Pocillopora,48,5,IUI_S,20220712.19,N,12_07_2022,37260,900,0.3674,311.04,0.088,223.76
49,Porites,49,5,IUI_S,20220712.2,N,12_07_2022,37535,855.08,0.235,352.4,0.128,1047.6
50,Porites,50,5,IUI_S,20220712.2,N,12_07_2022,37782,637.12,0.3626,644.02,0.23,283.74
51,Stylophora,51,5,IUI_S,20220712.21,N,12_07_2022,37988,900,0.3848,420.42,0.164,235.58
52,Stylophora,52,5,IUI_S,20220712.21,N,12_07_2022,38135,900,0.3982,442.26,0.136,217.1
53,Stylophora,53,5,IUI_S,20220712.22,N,12_07_2022,38276,846,0.4606,484.42,0.164,197.52
54,Pocillopora,54,5,IUI_S,20220712.22,N,12_07_2022,38370,900,0.3672,351.58,0.046,210.28
55,Stylophora,55,5,IUI_S,20220712.23,N,12_07_2022,38474,718.8,0.4434,592.98,0.174,202.92
56,Pocillopora,56,5,IUI_S,20220712.23,N,12_07_2022,38585,894.1,0.366,381.36,0.106,223.3
57,Pocillopora,57,5,IUI_S,20220712.24,N,12_07_2022,38650,900,0.4124,383.64,0.158,182.62
58,Stylophora,58,5,IUI_S,20220712.24,N,12_07_2022,38775,844.26,0.4008,460.88,0.166,202.5
59,Porites,59,5,IUI_S,20220712.25,N,12_07_2022,38956,841.05,0.20825,448.925,0.015,187.94
60,Porites,60,35,IUI_S,20220712.25,PM,12_07_2022,47866,483.24,0.412,493.66,0.138,135
61,Porites,61,35,IUI_S,20220712.26,PM,12_07_2022,47959,417.52,0.4498,426.78,0.076,87.74
62,Porites,62,35,IUI_S,20220712.26,PM,12_07_2022,48031,246.8,0.2982,666.48,0.262,209.84
63,Alveopora,63,35,IUI_S,20220712.27,PM,12_07_2022,48126,353.28,0.284,881.58,0.162,335.94
64,Alveopora,64,35,IUI_S,20220712.27,PM,12_07_2022,48284,451.6,0.3716,505.52,0.022,105.38
65,Alveopora,65,35,IUI_S,20220712.28,PM,12_07_2022,48330,559.62,0.376,484.54,0.016,112.54
66,Stylophora,66,35,IUI_S,20220712.28,PM,12_07_2022,48483,521.4142857,0.432,362.8428571,0.228571429,1120.8
67,Stylophora,67,35,IUI_S,20220712.29,PM,12_07_2022,48575,510,0.4758,404.94,0.202,82.2
68,Stylophora,68,35,IUI_S,20220712.29,PM,12_07_2022,48670,672.58,0.4654,355.46,0.17,94.78
69,Stylophora,69,15,IUI_S,20220712.3,PM,12_07_2022,49169,891.96,0.4492,331.74,0.192,136.62
70,Stylophora,70,15,IUI_S,20220712.3,PM,12_07_2022,49262,803.4166667,0.413,358.08,0.148333333,179.7
71,Stylophora,71,15,IUI_S,20220712.31,PM,12_07_2022,,433.92,0.4754,533.22,0.17,79.04
72,Pocillopora,72,15,IUI_S,20220712.31,PM,12_07_2022,49493,763.36,0.4516,328.16,0.078,102.68
