"PIC","SITE","DEPTH","LABEL_corrected","Count"
"MKN9079","IUI_S","5","Acanthastrea",1
"MKN9226","IUI_N","5","Acropora",2
"MKN9227","IUI_N","5","Acropora",11
"MKN9228","IUI_N","5","Acropora",6
"MKN9229","IUI_N","5","Acropora",7
"MKN9230","IUI_N","5","Acropora",7
"MKN9231","IUI_N","5","Acropora",7
"MKN9232","IUI_N","5","Acropora",7
"MKN9233","IUI_N","5","Acropora",5
"MKN9234","IUI_N","5","Acropora",4
"MKN9235","IUI_N","5","Acropora",4
"MKN9236","IUI_N","5","Acropora",9
"MKN9239","IUI_N","5","Acropora",1
"MKN9240","IUI_N","5","Acropora",5
"MKN9241","IUI_N","5","Acropora",2
"MKN9242","IUI_N","5","Acropora",4
"MKN9243","IUI_N","5","Acropora",3
"MKN9244","IUI_N","5","Acropora",3
"MKN9245","IUI_N","5","Acropora",9
"MKN9246","IUI_N","5","Acropora",5
"MKN9247","IUI_N","5","Acropora",1
"MKN9248","IUI_N","5","Acropora",2
"MKN9249","IUI_N","5","Acropora",8
"MKN9250","IUI_N","5","Acropora",4
"MKN9251","IUI_N","5","Acropora",5
"MKN9065","IUI_S","5","Acropora",2
"MKN9066","IUI_S","5","Acropora",9
"MKN9067","IUI_S","5","Acropora",3
"MKN9069","IUI_S","5","Acropora",8
"MKN9074","IUI_S","5","Acropora",1
"MKN9075","IUI_S","5","Acropora",4
"MKN9077","IUI_S","5","Acropora",3
"MKN9079","IUI_S","5","Acropora",2
"MKN9080","IUI_S","5","Acropora",2
"MKN9081","IUI_S","5","Acropora",5
"MKN9083","IUI_S","5","Acropora",5
"MKN9085","IUI_S","5","Acropora",5
"MKN9088","IUI_S","5","Acropora",1
"MKN9090","IUI_S","5","Acropora",1
"MKN9092","IUI_S","5","Acropora",4
"MKN9093","IUI_S","5","Acropora",3
"MKN9095","IUI_S","5","Acropora",1
"MKN9372","JG","5","Acropora",4
"MKN9373","JG","5","Acropora",4
"MKN9374","JG","5","Acropora",2
"MKN9377","JG","5","Acropora",2
"MKN9378","JG","5","Acropora",2
"MKN9379","JG","5","Acropora",5
"MKN9380","JG","5","Acropora",8
"MKN9381","JG","5","Acropora",4
"MKN9382","JG","5","Acropora",6
"MKN9384","JG","5","Acropora",2
"MKN9385","JG","5","Acropora",1
"MKN9386","JG","5","Acropora",4
"MKN9388","JG","5","Acropora",2
"MKN9389","JG","5","Acropora",2
"MKN9390","JG","5","Acropora",4
"MKN9391","JG","5","Acropora",2
"MKN9392","JG","5","Acropora",3
"MKN9394","JG","5","Acropora",5
"MKN9396","JG","5","Acropora",6
"MKN9397","JG","5","Acropora",2
"MKN9398","JG","5","Acropora",4
"MKN9399","JG","5","Acropora",6
"MKN9400","JG","5","Acropora",3
"MKN9401","JG","5","Acropora",8
"MKN9191","IUI_N","15","Acropora",1
"MKN9192","IUI_N","15","Acropora",5
"MKN9193","IUI_N","15","Acropora",2
"MKN9194","IUI_N","15","Acropora",2
"MKN9195","IUI_N","15","Acropora",1
"MKN9196","IUI_N","15","Acropora",3
"MKN9197","IUI_N","15","Acropora",3
"MKN9198","IUI_N","15","Acropora",1
"MKN9199","IUI_N","15","Acropora",4
"MKN9201","IUI_N","15","Acropora",1
"MKN9202","IUI_N","15","Acropora",2
"MKN9203","IUI_N","15","Acropora",1
"MKN9204","IUI_N","15","Acropora",2
"MKN9205","IUI_N","15","Acropora",5
"MKN9206","IUI_N","15","Acropora",11
"MKN9207","IUI_N","15","Acropora",6
"MKN9208","IUI_N","15","Acropora",3
"MKN9209","IUI_N","15","Acropora",5
"MKN9210","IUI_N","15","Acropora",2
"MKN9211","IUI_N","15","Acropora",17
"MKN9213","IUI_N","15","Acropora",4
"MKN9214","IUI_N","15","Acropora",4
