"","Coral","PIC","Prevalence","SITE","DEPTH","Site_Depth"
"1","Acanthastrea","MKN9079",1,"IUI-S","5","IUI-S_5"
"2","Acropora","MKN9079",2,"IUI-S","5","IUI-S_5"
"3","Alveopora","MKN9079",0,"IUI-S","5","IUI-S_5"
"4","Astrea","MKN9079",0,"IUI-S","5","IUI-S_5"
"5","Astreopora","MKN9079",0,"IUI-S","5","IUI-S_5"
"6","Blastomussa","MKN9079",0,"IUI-S","5","IUI-S_5"
"7","Coscinaraea","MKN9079",0,"IUI-S","5","IUI-S_5"
"8","Cynarina","MKN9079",0,"IUI-S","5","IUI-S_5"
"9","Cyphastrea","MKN9079",0,"IUI-S","5","IUI-S_5"
"10","Dipsastraea","MKN9079",0,"IUI-S","5","IUI-S_5"
"11","Echinophyllia","MKN9079",0,"IUI-S","5","IUI-S_5"
"12","Echinopora","MKN9079",3,"IUI-S","5","IUI-S_5"
"13","Erythrastrea","MKN9079",0,"IUI-S","5","IUI-S_5"
"14","Euphyllia","MKN9079",0,"IUI-S","5","IUI-S_5"
"15","Favites","MKN9079",0,"IUI-S","5","IUI-S_5"
"16","Fungia","MKN9079",0,"IUI-S","5","IUI-S_5"
"17","Galaxea","MKN9079",0,"IUI-S","5","IUI-S_5"
"18","Goniastrea","MKN9079",0,"IUI-S","5","IUI-S_5"
"19","Goniopora","MKN9079",0,"IUI-S","5","IUI-S_5"
"20","Gyrosmilia","MKN9079",0,"IUI-S","5","IUI-S_5"
"21","HC","MKN9079",2,"IUI-S","5","IUI-S_5"
"22","Hydnophora","MKN9079",0,"IUI-S","5","IUI-S_5"
"23","Leptastrea","MKN9079",0,"IUI-S","5","IUI-S_5"
"24","Leptoseris","MKN9079",0,"IUI-S","5","IUI-S_5"
"25","Lobophyllia","MKN9079",0,"IUI-S","5","IUI-S_5"
"26","Madracis","MKN9079",0,"IUI-S","5","IUI-S_5"
"27","Merulina","MKN9079",0,"IUI-S","5","IUI-S_5"
"28","Montipora","MKN9079",0,"IUI-S","5","IUI-S_5"
"29","Mycedium","MKN9079",0,"IUI-S","5","IUI-S_5"
"30","Oxypora","MKN9079",0,"IUI-S","5","IUI-S_5"
"31","Pachyseris","MKN9079",0,"IUI-S","5","IUI-S_5"
"32","Paramontastraea","MKN9079",0,"IUI-S","5","IUI-S_5"
"33","Pavona","MKN9079",0,"IUI-S","5","IUI-S_5"
"34","Platygyra","MKN9079",1,"IUI-S","5","IUI-S_5"
"35","Plerogyra","MKN9079",0,"IUI-S","5","IUI-S_5"
"36","Pocillopora","MKN9079",1,"IUI-S","5","IUI-S_5"
"37","Podbacia","MKN9079",0,"IUI-S","5","IUI-S_5"
"38","Porites","MKN9079",0,"IUI-S","5","IUI-S_5"
"39","Psammocora","MKN9079",0,"IUI-S","5","IUI-S_5"
"40","Sclerophyllia","MKN9079",0,"IUI-S","5","IUI-S_5"
"41","Seriatopora","MKN9079",0,"IUI-S","5","IUI-S_5"
"42","Siderastrea","MKN9079",0,"IUI-S","5","IUI-S_5"
"43","Stylophora","MKN9079",0,"IUI-S","5","IUI-S_5"
"44","Turbinaria","MKN9079",0,"IUI-S","5","IUI-S_5"
"45","Acanthastrea","MKN8948",0,"IUI-S","45","IUI-S_45"
"46","Acropora","MKN8948",4,"IUI-S","45","IUI-S_45"
"47","Alveopora","MKN8948",18,"IUI-S","45","IUI-S_45"
