Site,Depth,Acropora,Montipora,Alveopora,Porites,Stylophora,Echinopora,Goniastrea,Gyrosmilia,Dipsastraea,Leptoseris,Astreopora,Favites,Platygyra,Mycedium,Pocillopora,Lobophyllia,Paramontastraea peresi,Echinophyllia,Turbinaria,Pachyseris,Cyphastrea,Astrea,Galaxea,Plerogyra,Seriatopora,Leptastrea,Psammocora,Erythrastrea,Euphyllia,Hydnophora,Fungia,Blastomussa,Coscinaraea,Goniopora,Pavona,Podbacia,Siderastrea,Oxypora,Sclerophyllia,Acanthastrea,Cynarina,Madracis,Merulina,HC_general
JG,5,91,14,0,5,24,38,87,0,4,0,1,1,14,1,6,23,3,0,5,0,9,0,1,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,28
IUI-N,5,121,38,0,1,30,8,34,0,4,0,9,9,10,6,31,12,4,2,2,0,0,0,0,19,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,24
IUI-S,5,59,2,0,0,83,8,28,0,7,0,1,6,9,0,15,0,2,0,4,0,5,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,30
JG,15,96,30,0,11,44,24,9,0,25,0,8,10,15,0,10,4,16,0,0,0,2,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21
IUI-N,15,130,13,0,9,45,12,5,2,17,3,16,4,25,0,17,1,9,0,0,0,2,0,2,0,0,2,0,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,18
IUI-S,15,102,8,0,48,41,0,6,10,6,0,22,5,7,17,17,4,5,0,17,0,1,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,14
JG,25,210,237,0,83,23,68,34,0,2,8,1,2,3,4,0,10,7,1,10,7,3,13,0,1,0,2,0,0,0,0,1,3,4,0,1,0,1,1,0,0,0,0,0,81
IUI-N,25,159,267,0,70,22,68,38,0,7,12,11,5,7,1,1,17,3,1,1,3,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,111
IUI-S,25,46,7,2,3,25,5,6,102,7,2,22,2,7,0,2,0,2,3,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
JG,35,76,226,0,92,34,69,59,0,8,16,2,13,3,20,0,8,4,4,9,1,2,4,1,0,2,7,7,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,154
