"","DEPTH_F.otu.pa","DEPTH_p.otu.pa","DEPTH_q.otu.pa","DEPTH_F.otu.freq","DEPTH_p.otu.freq","DEPTH_q.otu.freq"
"Acropora",0.0809997459275137,9.99900009999e-05,0.000112436328276648,0.219444667426437,9.99900009999e-05,0.000357107146428214
"Alveopora",0.443724446910992,9.99900009999e-05,0.000112436328276648,0.79733064635336,9.99900009999e-05,0.000357107146428214
"Astreopora",0.00703303138754916,0.652,0.213837799247853,0.0111747305215302,0.271,0.307954545454545
"Cyphastrea",0.00721048184714215,0.708,0.222916066553345,0.00637403102540309,0.596,0.647826086956522
"Dipsastraea",0.0132198316761575,0.0423333333333333,0.0222146425394498,0.0456125201235454,0.0006999300069993,0.0015907500159075
"Echinophyllia",0.027491952221859,9.99900009999e-05,0.000112436328276648,0.0631788552913641,9.99900009999e-05,0.000357107146428214
"Echinopora",0.0258186143533882,9.99900009999e-05,0.000112436328276648,0.0448830815285077,0.0005999400059994,0.0014998500149985
"Favites",0.0240314577305611,9.99900009999e-05,0.000112436328276648,0.0869051131997153,9.99900009999e-05,0.000357107146428214
"Galaxea",0.00748798614165052,0.598,0.204654580875246,0.00533409001627908,0.675,0.688
"Goniastrea",0.0447565958251507,9.99900009999e-05,0.000112436328276648,0.117768015395598,9.99900009999e-05,0.000357107146428214
"Gyrosmilia",0.0312562244104142,0.0007999200079992,0.000787054297936537,0.055325765934738,0.0001999800019998,0.000555500005555
"HC",0.0104553466045669,0.182,0.0795878925625956,0.0290410876161155,0.0104,0.0173333333333333
"Leptastrea",0.00896108374724785,0.361,0.142077507107623,0.013152310907361,0.187,0.246052631578947
"Leptoseris",0.0368657147671544,9.99900009999e-05,0.000112436328276648,0.0824732206800033,9.99900009999e-05,0.000357107146428214
"Lobophyllia",0.0187378966470173,0.0034996500349965,0.00250426367525262,0.0121025239429032,0.235,0.29375
"Montipora",0.0100667752280922,0.22,0.0911417161792593,0.0382864889362965,0.0020997900209979,0.00437456254374563
"Mycedium",0.0186429170674255,0.0042995700429957,0.00282027790093926,0.0318757948756214,0.0046995300469953,0.00839201794106304
"Pachyseris",0.0179599663793121,0.0047995200479952,0.0029060466385349,0.0348475847707765,0.002999700029997,0.00576865390384039
"Paramontastraea",0.00779576134847267,0.572,0.204654580875246,0.0198292462659552,0.058,0.0805555555555556
"Platygyra",0.0141487971607246,0.0343333333333333,0.01930349984446,0.0217475806407755,0.0333333333333333,0.05
"Pocillopora",0.0219160713648011,0.0010998900109989,0.000961955253033545,0.0539962920955919,0.0001999800019998,0.000555500005555
"Porites",0.012210530291092,0.0855,0.039588159875189,0.0115436324052708,0.257,0.305952380952381
"Psammocora",0.0127197835402211,0.059,0.0290255294991334,0.0214895134954256,0.034,0.05
"Stylophora",0.0203709518147101,0.0012998700129987,0.0010231705873175,0.0596510775598159,9.99900009999e-05,0.000357107146428214
"Turbinaria",0.00855947922767223,0.405,0.151804222077792,0.00534752671429114,0.688,0.688
