,DEPTH_F.otu.pa,DEPTH_p.otu.pa,DEPTH_q.otu.pa,SITE_F.otu.pa,SITE_p.otu.pa,SITE_q.otu.pa,,
Acropora,0.087393848,1.00E-04,0.000164778,0.037095583,1.00E-04,0.000275912,Depth,Site
Gyrosmilia,0.02174278,0.0107,0.008015011,0.029308031,1.00E-04,0.000275912,Depth,Site
Porites,0.010392615,0.207,0.089769699,0.028816477,1.00E-04,0.000275912,,Site
Montipora,0.007936897,0.596,0.204619982,0.028455042,1.00E-04,0.000275912,,Site
Psammo,0.010650978,0.182,0.088213589,0.015799541,0.00049995,0.001103649,,Site
Goniastrea,0.035249882,1.00E-04,0.000164778,0.012652985,0.00319968,0.005886128,Depth,Site
Leptoseris,0.037630414,1.00E-04,0.000164778,0.01172158,0.00409959,0.00646423,Depth,Site
Pocill,0.018681293,0.00439956,0.00402791,0.012654118,0.00489951,0.00675985,Depth,Site
HC,0.011742592,0.083,0.046691808,0.009671609,0.00789921,0.009687586,Depth,Site
Platygyra,0.012095426,0.093,0.047893435,0.010697986,0.00929907,0.010263936,Depth,Site
Alveopora,0.49037758,1.00E-04,0.000164778,0.009337466,0.053,0.053181134,Depth,
Echinophyl,0.025551714,0.00019998,0.000235397,0.007128839,0.0735,0.062404858,Depth,
Astreopora,0.007448164,0.594,0.204619982,0.007965343,0.068,0.062404858,,
Lepta,0.011948489,0.085,0.046691808,0.006196059,0.119,0.092715789,Depth,
Myc,0.01276682,0.075,0.046691808,0.006345771,0.126,0.092715789,Depth,
Favites,0.01880423,0.00229977,0.002368686,0.006046557,0.154,0.106236842,Depth,
Echinopora,0.024696592,1.00E-04,0.000164778,0.005148012,0.23,0.149332153,Depth,
Dipsastrae,0.009730293,0.279,0.114944245,0.004701557,0.293,0.179667501,,
Stylophora,0.028929381,0.00019998,0.000235397,0.004512728,0.338,0.196352987,Depth,
Turbinaria,0.008598005,0.424,0.159925685,0.00450092,0.379,0.209162405,,
Galaxea,0.008702298,0.427,0.159925685,0.00402422,0.489,0.257018259,,
Pachyseris,0.017844326,0.00489951,0.004037064,0.003325854,0.694,0.348185918,Depth,
Lobophyl,0.014898558,0.017666667,0.012130715,0.00321138,0.767,0.352743106,Depth,
Paramontastraea,0.01020662,0.205,0.089769699,0.003225908,0.744,0.352743106,,
Cyphastrea,0.006601496,0.829,0.273229474,0.002646551,0.961,0.424285111,,
