LABEL,LABEL1
Acantha,Acanthastrea
Acropora,Acropora
AL_Macro,Macro_Algae
AL_Padina,Padina
Alveopora,Alveopora
Anti_BlkC,Antipathes
Astrea,Astrea
Astreopora,Astreopora
Blastomu,Blastomussa
CCA,CCA
Coscin,Coscinaraea
Cynarina,Cynarina
Cyphastrea,Cyphastrea
Dead_coral,Non_live
Dips_favus,Dipsastraea
Dips_speci,Dipsastraea
Dips_vero,Dipsastraea
Dipsastraea,Dipsastraea
Echino_bra,Echinopora
Echinophyl,Echinophyllia
Echinopora,Echinopora
Erythra,Erythrastrea
Euphyllia,Euphyllia
Favites,Favites
Fish,Non_live
Fungia,Fungia
Galaxea,Galaxea
Goniastrea,Goniastrea
Goniopora,Goniopora
Gyro_inter,Gyrosmilia
Halophila,Halophila
HC,HC
HC_bleach,HC
HC_bran,HC
HC_column,HC
HC_encr,HC
HC_free,HC
HC_mas,HC
HC_plate,HC
Hydno,Hydnophora
Hydroid,Hydroid
Lepta,Leptastrea
Lepto_yab,Leptoseris
Leptoseris,Leptoseris
Lobophyl,Lobophyllia
Mad_Kirb,Madracis
Merulina,Merulina
Millepora,Millepora
Monti_mean,Montipora
Montipora,Montipora
Myc,Mycedium
Other,Non_live
Other_Inv,Other_Inv
Oxypora,Oxypora
Pachyseris,Pachyseris
Para_peres,Paramontastraea
Pavona,Pavona
Platygyra,Platygyra
Plerog_sin,Plerogyra
Pocill,Pocillopora
Podbacia,Podbacia
Porites,Porites
Psammo,Psammocora
RCTA,Non_live
Rock,Non_live
Rubble,Non_live
Sand,Non_live
SC,SC
SC_Briar,Briareum
SC_Dendro,Dendronephthya
SC_Lobo,Lobophytum
SC_Melith,Melithaea
SC_Nephti,Nephthya
SC_Rhyti,Rhytisma
SC_Rumph,Rumphella
SC_Sarco,Sarcophyton
SC_Sclero,Sclerophytum
SC_Xeni,Xenia
Sclerophyl,Sclerophyllia
Seria_hyst,Seriatopora
Seriatopor,Seriatopora
Siderastre,Siderastrea
SP_Cally,Callyspongia
SP_Crella,Crella
SP_Mycale,Mycale
Spo_E,Sponge
Spo_mass,Sponge
Sponge,Sponge
Stylo_Blea,Stylophora
Stylophora,Stylophora
Tubi_music,Tubipora
Turbinaria,Turbinaria
Unknown,Non_live
Water,Non_live
