"","Species","variable","p_depth","contrast","estimate","SE","df","t.ratio","p.value"
"1","Leptoseris","fv_fm",6.60706561556924e-07,"DEPTH25 - DEPTH35",-2.65671938939884,2.93017546256758,26.999241974534,-0.906675870895076,0.640823445210214
"2","Leptoseris","fv_fm",6.60706561556924e-07,"DEPTH25 - DEPTH45",11.6795306438035,2.23685472307444,26.582267193999,5.22140777553517,5.09237954120501e-05
"3","Leptoseris","fv_fm",6.60706561556924e-07,"DEPTH35 - DEPTH45",14.3362500332023,2.44342293453569,26.9511964946492,5.86728143972608,8.83235114668146e-06
"4","Leptoseris","p",0.000970440038894793,"DEPTH25 - DEPTH35",-10.7758560839043,4.18426107413523,26.7579146820829,-2.57533071980491,0.0407168831961181
"5","Leptoseris","p",0.000970440038894793,"DEPTH25 - DEPTH45",4.07864828924693,3.2127571118757,26.2126042829685,1.26951653897848,0.424458570009793
"6","Leptoseris","p",0.000970440038894793,"DEPTH35 - DEPTH45",14.8545043731513,3.48827977153209,26.6003949846031,4.25840395440157,0.000648712415071695
"7","Leptoseris","Pmax",0.010395897174632,"DEPTH25 - DEPTH35",16.9603155205513,4.76905159883945,11.6496014210322,3.55632879390078,0.0106343749595014
"8","Leptoseris","Pmax",0.010395897174632,"DEPTH25 - DEPTH45",5.35251545378945,3.37051533334871,24.6847835607031,1.5880406775873,0.269487919391532
"9","Leptoseris","Pmax",0.010395897174632,"DEPTH35 - DEPTH45",-11.6078000667618,4.10866584109273,11.8692133328655,-2.8251993507641,0.0381717205689213
"10","Pocillopora","fv_fm",0.000569460289419637,"DEPTH5 - DEPTH15",-12.0163193732389,2.920328566531,36.1005105048949,-4.11471486837278,0.00061525556754638
"11","Pocillopora","fv_fm",0.000569460289419637,"DEPTH5 - DEPTH25",-0.124395425316667,4.04249635410242,36.2777849483527,-0.0307719325931927,0.999478085003553
"12","Pocillopora","fv_fm",0.000569460289419637,"DEPTH15 - DEPTH25",11.8919239479222,4.22396938757309,36.3418901897413,2.81534330786303,0.0208556341084429
"13","Pocillopora","p",0.00178037258497467,"DEPTH5 - DEPTH15",-6.02721232035807,3.17966938947193,36.2623306361674,-1.89554685789489,0.154475132470925
"14","Pocillopora","p",0.00178037258497467,"DEPTH5 - DEPTH25",11.8292874991232,4.40786661973796,36.6593110880783,2.68367637218262,0.02859364856069
"15","Pocillopora","p",0.00178037258497467,"DEPTH15 - DEPTH25",17.8564998194813,4.608735975779,36.8003396042573,3.87448964603859,0.00120553469082152
"16","Pocillopora","Pmax",0.0340061150188892,"DEPTH5 - DEPTH15",9.87089348931334,3.9276181240268,37.3845468362173,2.51320092168054,0.0423816885604347
"17","Pocillopora","Pmax",0.0340061150188892,"DEPTH5 - DEPTH25",9.4359574252856,5.40329654254896,37.9019101431661,1.7463334375563,0.201559461207422
"18","Pocillopora","Pmax",0.0340061150188892,"DEPTH15 - DEPTH25",-0.434936064027743,5.65423375063847,37.9979044867124,-0.076922193741748,0.99674341094233
"19","Porites","fv_fm",5.01889070208564e-09,"DEPTH5 - DEPTH15",-4.92435087600999,6.4085187443491,71.1751412552433,-0.768407033271485,0.938820837139462
