"","PIC","SITE","DEPTH","GROUP","LABEL","Live_Non_live","Count"
"1","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"2","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"3","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"4","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"5","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"6","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"7","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"8","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"9","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"10","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"11","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"12","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"13","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"14","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"15","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"16","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"17","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"18","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"19","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"20","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"21","MKN8931","IUI_S","45","Hard Coral","Alveopora","Live",1
"22","MKN8931","IUI_S","45","Hard Coral","Dipsastraea","Live",1
"23","MKN8931","IUI_S","45","Hard Coral","Dipsastraea","Live",1
"24","MKN8931","IUI_S","45","Hard Coral","HC_plate","Live",1
"25","MKN8931","IUI_S","45","Hard Coral","Montipora","Live",1
"26","MKN8931","IUI_S","45","Hard Coral","Montipora","Live",1
"27","MKN8931","IUI_S","45","Hard Coral","Montipora","Live",1
"28","MKN8931","IUI_S","45","Hard Coral","Porites","Live",1
"29","MKN8931","IUI_S","45","Hard Coral","Stylophora","Live",1
"30","MKN8931","IUI_S","45","Hard Coral","Stylophora","Live",1
"31","MKN8931","IUI_S","45","Hard Coral","Stylophora","Live",1
"32","MKN8931","IUI_S","45","Hard Coral","Stylophora","Live",1
"33","MKN8931","IUI_S","45","Soft Coral","SC_Xeni","Live",1
"34","MKN8931","IUI_S","45","Soft Coral","SC_Xeni","Live",1
"35","MKN8931","IUI_S","45","Soft Coral","SC_Xeni","Live",1
