"","...1","Species","Colony","depth","Site","File","Time","DATE","TIME","PAR","Depth(m)","T(C)","Battery_V","Dark_Fo","Fm","Fv","fv_fm","Sigma","p","Alp1","Tau1","Alp2","Tau2","Alp3","Tau3","Alp4","Tau4","TauAv1","TauAv2","GAIN","Light_Fo","Fm.1","Fv.1","Fv_Fm.1","Sigma.1","p.1","Alp1.1","Tau1.1","Alp2.1","Tau2.1","Alp3.1","Tau3.1","Alp4.1","Tau4.1","TauAv1.1","TauAv2.1","Pmax.e.s"
"1",1,"Porites",1,45,"IUI south",20220712,"N","7/12/2022",32907,431.2,23.5,24.4,15.92,950.4,1767.1,816.6,0.462,439.4,0.07,0.71,921,0.18,5425,0.11,83216,"--------","-------",1836,10704,0,1686.2,1925.8,239.6,0.124,228.2,0,0.32,1460,0.675,13246,0.005,50000,"--------","-------",9457,9678,105.7
"2",2,"Porites",1,45,"IUI south",20220712,"N","7/12/2022",32916,384.5,23.5,24.4,15.92,788.8,1525.3,736.4,0.483,394.3,0.07,0.67,793,0.23,4742,0.1,109973,"--------","-------",1815,12369,0,1641.8,1874.2,232.4,0.124,216.6,0,0.285,1176,0.71,14347,0.006,50000,"--------","-------",10575,10799,94.6
"3",3,"Porites",1,45,"IUI south",20220712,"N","7/12/2022",32925,356.1,23.5,24.4,15.91,1004.4,1875.8,871.5,0.465,414.2,0.02,0.75,923,0.15,5707,0.1,112586,"--------","-------",1736,12721,0,2025.4,2180.1,154.7,0.071,424.2,0,0.235,1416,0.762,11685,0.003,50000,"--------","-------",9263,9401,108
"4",4,"Porites",1,45,"IUI south",20220712,"N","7/12/2022",32933,422.3,23.5,24.4,15.91,1177.9,2056.7,878.9,0.427,513.1,0.06,0.71,955,0.16,4492,0.12,97590,"--------","-------",1618,13535,0,2086.3,2216,129.8,0.059,474.4,0.22,0.757,40,0.243,7945,0,50000,"--------","-------",1961,1966,510
"5",5,"Porites",1,45,"IUI south",20220712.01,"N","7/12/2022",32942,497.5,23.5,24.4,15.91,891.2,1641.9,750.7,0.457,361.3,0.07,0.68,859,0.22,4091,0.1,150577,"--------","-------",1647,16118,0,1784.9,2011.1,226.2,0.112,239.5,0,0.293,1257,0.703,11675,0.005,50000,"--------","-------",8613,8807,116.1
"6",6,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",32961,348.3,23.5,24.4,15.9,1109.9,1968.3,858.4,0.436,495.6,0.07,0.7,967,0.18,5803,0.12,98168,"--------","-------",1950,13307,0,2046.5,2180.9,134.4,0.062,456.1,0.01,0.197,1533,0.801,12364,0.003,50000,"--------","-------",10228,10339,97.8
"7",7,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",32972,400.5,23.5,24.4,15.9,992,1769.5,777.5,0.439,406.6,0.03,0.68,927,0.22,6266,0.1,129736,"--------","-------",2217,14623,0,1879.4,2089.1,209.7,0.1,264.9,0.02,0.227,1268,0.739,12577,0.034,50000,"--------","-------",9921,11282,100.8
"8",8,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",32980,280.4,23.5,24.4,15.9,1169.9,2077.5,907.5,0.437,621.2,0.11,0.74,1000,0.17,8975,0.1,147371,"--------","-------",2464,16245,0,2116.8,2197.5,80.7,0.037,2804.7,0.7,0.6,288,0.4,13457,0,65231,"--------","-------",5560,5573,179.8
"9",9,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",32990,387,23.6,24.4,15.9,959.8,1769.5,809.6,0.458,496.9,0.12,0.65,765,0.23,3889,0.12,86962,"--------","-------",1581,11893,0,2011.8,2167.6,155.9,0.072,375.1,0,0.174,1384,0.823,12948,0.003,50000,"--------","-------",10928,11033,91.5
"10",10,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",33003,348,23.5,24.4,15.9,1252.1,2094.6,842.5,0.402,467.4,0.04,0.64,1186,0.2,5941,0.16,78419,"--------","-------",2332,14545,0,1916.2,2137.9,221.7,0.104,286.8,0,0.313,1499,0.682,13343,0.005,50000,"--------","-------",9618,9831,104
