"","PIC","SITE","DEPTH"
"MKN9079","MKN9079","IUI-S","5"
"MKN8948","MKN8948","IUI-S","45"
"MKN8950","MKN8950","IUI-S","45"
"MKN8968","MKN8968","IUI-S","35"
"MKN8984","MKN8984","IUI-S","35"
"MKN8988","MKN8988","IUI-S","35"
"MKN9004","MKN9004","IUI-S","25"
"MKN9006","MKN9006","IUI-S","25"
"MKN9009","MKN9009","IUI-S","25"
"MKN9010","MKN9010","IUI-S","25"
"MKN9012","MKN9012","IUI-S","25"
"MKN9013","MKN9013","IUI-S","25"
"MKN9015","MKN9015","IUI-S","25"
"MKN9016","MKN9016","IUI-S","25"
"MKN9021","MKN9021","IUI-S","25"
"MKN9023","MKN9023","IUI-S","25"
"MKN9024","MKN9024","IUI-S","25"
"MKN9025","MKN9025","IUI-S","25"
"MKN9026","MKN9026","IUI-S","25"
"MKN9030","MKN9030","IUI-S","15"
"MKN9031","MKN9031","IUI-S","15"
"MKN9032","MKN9032","IUI-S","15"
"MKN9033","MKN9033","IUI-S","15"
"MKN9034","MKN9034","IUI-S","15"
"MKN9035","MKN9035","IUI-S","15"
"MKN9036","MKN9036","IUI-S","15"
"MKN9037","MKN9037","IUI-S","15"
"MKN9040","MKN9040","IUI-S","15"
"MKN9044","MKN9044","IUI-S","15"
"MKN9045","MKN9045","IUI-S","15"
"MKN9046","MKN9046","IUI-S","15"
"MKN9047","MKN9047","IUI-S","15"
"MKN9048","MKN9048","IUI-S","15"
"MKN9049","MKN9049","IUI-S","15"
"MKN9050","MKN9050","IUI-S","15"
"MKN9052","MKN9052","IUI-S","15"
"MKN9053","MKN9053","IUI-S","15"
"MKN9054","MKN9054","IUI-S","15"
"MKN9056","MKN9056","IUI-S","15"
"MKN9057","MKN9057","IUI-S","15"
"MKN9060","MKN9060","IUI-S","15"
"MKN9062","MKN9062","IUI-S","15"
"MKN9064","MKN9064","IUI-S","15"
"MKN9065","MKN9065","IUI-S","5"
"MKN9066","MKN9066","IUI-S","5"
"MKN9067","MKN9067","IUI-S","5"
"MKN9069","MKN9069","IUI-S","5"
"MKN9074","MKN9074","IUI-S","5"
"MKN9075","MKN9075","IUI-S","5"
"MKN9077","MKN9077","IUI-S","5"
"MKN9080","MKN9080","IUI-S","5"
"MKN9081","MKN9081","IUI-S","5"
"MKN9083","MKN9083","IUI-S","5"
"MKN9085","MKN9085","IUI-S","5"
"MKN9088","MKN9088","IUI-S","5"
"MKN9090","MKN9090","IUI-S","5"
"MKN9092","MKN9092","IUI-S","5"
"MKN9093","MKN9093","IUI-S","5"
"MKN9095","MKN9095","IUI-S","5"
"MKN9123","MKN9123","IUI-N","45"
"MKN9131","MKN9131","IUI-N","45"
"MKN9132","MKN9132","IUI-N","35"
"MKN9133","MKN9133","IUI-N","35"
"MKN9134","MKN9134","IUI-N","35"
