"","DEPTH_F.otu.pa","DEPTH_p.otu.pa","DEPTH_q.otu.pa","DEPTH_F.otu.freq","DEPTH_p.otu.freq","DEPTH_q.otu.freq","D5","D15","D25","D35","D45"
"Acropora",0.0809997459275137,9.99900009999e-05,0.000112436328276648,0.219444667426437,9.99900009999e-05,0.000357107146428214,15.2418447694038,17.4375332270069,13.6423405654175,7.14285714285714,0.455298013245033
"Alveopora",0.443724446910992,9.99900009999e-05,0.000112436328276648,0.79733064635336,9.99900009999e-05,0.000357107146428214,NA,NA,0.0657462195923734,0.256629597946963,46.9784768211921
"Astreopora",0.00703303138754916,0.652,0.213837799247853,0.0111747305215302,0.271,0.307954545454545,0.61867266591676,2.4455077086656,1.11768573307035,0.384944396920445,1.77980132450331
"Cyphastrea",0.00721048184714215,0.708,0.222916066553345,0.00637403102540309,0.596,0.647826086956522,0.78740157480315,0.26581605528974,0.0986193293885602,0.0855431993156544,0.206953642384106
"Dipsastraea",0.0132198316761575,0.0423333333333333,0.0222146425394498,0.0456125201235454,0.0006999300069993,0.0015907500159075,0.843644544431946,2.5518341307815,0.525969756738987,1.11206159110351,2.56622516556291
"Echinophyllia",0.027491952221859,9.99900009999e-05,0.000112436328276648,0.0631788552913641,9.99900009999e-05,0.000357107146428214,0.112485939257593,NA,0.164365548980934,0.256629597946963,2.27649006622517
"Echinopora",0.0258186143533882,9.99900009999e-05,0.000112436328276648,0.0448830815285077,0.0005999400059994,0.0014998500149985,3.03712035995501,1.91387559808612,4.63510848126233,5.38922155688623,0.786423841059603
"Favites",0.0240314577305611,9.99900009999e-05,0.000112436328276648,0.0869051131997153,9.99900009999e-05,0.000357107146428214,0.899887514060743,1.01010101010101,0.29585798816568,0.812660393498717,3.10430463576159
"Galaxea",0.00748798614165052,0.598,0.204654580875246,0.00533409001627908,0.675,0.688,0.0562429696287964,0.318979266347687,0.131492439184747,0.171086398631309,0.413907284768212
"Goniastrea",0.0447565958251507,9.99900009999e-05,0.000112436328276648,0.117768015395598,9.99900009999e-05,0.000357107146428214,8.38020247469066,1.06326422115896,2.56410256410256,4.66210436270316,0.206953642384106
"Gyrosmilia",0.0312562244104142,0.0007999200079992,0.000787054297936537,0.055325765934738,0.0001999800019998,0.000555500005555,NA,0.637958532695375,3.35305719921105,6.15911035072712,1.49006622516556
"HC",0.0104553466045669,0.182,0.0795878925625956,0.0290410876161155,0.0104,0.0173333333333333,4.6119235095613,2.81765018607124,6.6732412886259,14.3284858853721,6.4569536423841
"Leptastrea",0.00896108374724785,0.361,0.142077507107623,0.013152310907361,0.187,0.246052631578947,0.112485939257593,0.26581605528974,0.0657462195923734,0.427715996578272,0.0413907284768212
"Leptoseris",0.0368657147671544,9.99900009999e-05,0.000112436328276648,0.0824732206800033,9.99900009999e-05,0.000357107146428214,NA,0.159489633173844,0.723208415516108,2.65183917878529,2.85596026490066
"Lobophyllia",0.0187378966470173,0.0034996500349965,0.00250426367525262,0.0121025239429032,0.235,0.29375,1.96850393700787,0.478468899521531,0.887573964497041,0.598802395209581,0.579470198675497
"Montipora",0.0100667752280922,0.22,0.0911417161792593,0.0382864889362965,0.0020997900209979,0.00437456254374563,3.03712035995501,2.71132376395534,16.7981591058514,18.819503849444,5.29801324503311
"Mycedium",0.0186429170674255,0.0042995700429957,0.00282027790093926,0.0318757948756214,0.0046995300469953,0.00839201794106304,0.393700787401575,0.903774587985114,0.164365548980934,2.3524379811805,0.827814569536424
"Pachyseris",0.0179599663793121,0.0047995200479952,0.0029060466385349,0.0348475847707765,0.002999700029997,0.00576865390384039,NA,NA,0.328731097961867,0.427715996578272,1.49006622516556
"Paramontastraea",0.00779576134847267,0.572,0.204654580875246,0.0198292462659552,0.058,0.0805555555555556,0.506186726659168,1.59489633173844,0.394477317554241,0.556030795551754,0.662251655629139
"Platygyra",0.0141487971607246,0.0343333333333333,0.01930349984446,0.0217475806407755,0.0333333333333333,0.05,1.85601799775028,2.49867091972355,0.558842866535174,0.427715996578272,0.206953642384106
"Pocillopora",0.0219160713648011,0.0010998900109989,0.000961955253033545,0.0539962920955919,0.0001999800019998,0.000555500005555,2.92463442069741,2.33918128654971,0.0986193293885602,0.0427715996578272,NA
"Porites",0.012210530291092,0.0855,0.039588159875189,0.0115436324052708,0.257,0.305952380952381,0.337457817772778,3.61509835194046,5.12820512820513,7.6988879384089,2.48344370860927
"Psammocora",0.0127197835402211,0.059,0.0290255294991334,0.0214895134954256,0.034,0.05,0.0562429696287964,NA,0.0328731097961867,0.427715996578272,0.248344370860927
"Stylophora",0.0203709518147101,0.0012998700129987,0.0010231705873175,0.0596510775598159,9.99900009999e-05,0.000357107146428214,7.70528683914511,6.91121743753323,2.30111768573307,2.95124037639008,1.77980132450331
"Turbinaria",0.00855947922767223,0.405,0.151804222077792,0.00534752671429114,0.688,0.688,0.61867266591676,0.903774587985114,0.361604207758054,0.470487596236099,0.33112582781457
