"","contrast","estimate","SE","df","t.ratio","p.value"
"1","DEPTH5 - DEPTH15",22.202045454545,17.1057969770697,459,1.29792522875764,0.692643773796769
"2","DEPTH5 - DEPTH25",-134.727272727273,17.6432824363392,459,-7.63617956088377,7.72271135929259e-13
"3","DEPTH5 - DEPTH35",-103.067631964809,17.4045260672327,459,-5.92188673030596,6.22946619843745e-08
"4","DEPTH5 - DEPTH45",-124.22111244019,17.3152246620535,459,-7.17409764323891,2.88448154250887e-11
"5","DEPTH15 - DEPTH25",-156.929318181818,17.1057969770697,459,-9.17404306810033,0
"6","DEPTH15 - DEPTH35",-125.269677419354,16.8594306759533,459,-7.43024363201229,4.79316586421419e-12
"7","DEPTH15 - DEPTH45",-146.423157894736,16.7672263713972,459,-8.73270000961608,0
"8","DEPTH25 - DEPTH35",31.6596407624634,17.4045260672327,459,1.819046415867,0.363765717283312
"9","DEPTH25 - DEPTH45",10.5061602870824,17.3152246620536,459,0.606758531415806,0.974002686192298
"10","DEPTH35 - DEPTH45",-21.1534804753811,17.0718809038118,459,-1.23908317979526,0.728443442303242
