"","contrast","estimate","SE","df","t.ratio","p.value"
"1","DEPTH5 - DEPTH15",-104.135681818182,17.1335973238966,459,-6.0778644349801,2.55803555004874e-08
"2","DEPTH5 - DEPTH25",-148.789772727273,17.6719563047098,459,-8.41954168297816,0
"3","DEPTH5 - DEPTH35",-37.4922409579665,17.4328119086744,459,-2.15067088169011,0.200679445693457
"4","DEPTH5 - DEPTH45",-34.5767344497608,17.3433653708224,459,-1.9936577308076,0.270681365992745
"5","DEPTH15 - DEPTH25",-44.6540909090913,17.1335973238966,459,-2.6062297406051,0.0708699215441654
"6","DEPTH15 - DEPTH35",66.6434408602151,16.8868306281872,459,3.94647416839575,0.0008687549262546
"7","DEPTH15 - DEPTH45",69.5589473684208,16.7944764731653,459,4.14177527233813,0.00039365336947017
"8","DEPTH25 - DEPTH35",111.297531769306,17.4328119086744,459,6.3843705968012,4.21447576837153e-09
"9","DEPTH25 - DEPTH45",114.213038277512,17.3433653708224,459,6.58540230431046,1.24262478085058e-09
"10","DEPTH35 - DEPTH45",2.9155065082057,17.0996261302254,459,0.170501184411993,0.999810309066321
