"","contrast","estimate","SE","df","t.ratio","p.value"
"1","DEPTH5 - DEPTH15",8.63840909090887,16.0538324034986,459,0.538090150301202,0.98332928631809
"2","DEPTH5 - DEPTH25",-56.2329545454546,16.5582638248463,459,-3.39606586416836,0.00663734588434262
"3","DEPTH5 - DEPTH35",-112.413795210166,16.3341903870497,459,-6.88211613471163,1.93691396255247e-10
"4","DEPTH5 - DEPTH45",-69.6597488038278,16.2503807993371,459,-4.28665331994369,0.000213886634262694
"5","DEPTH15 - DEPTH25",-64.8713636363635,16.0538324034986,459,-4.04086463629869,0.00059522082671637
"6","DEPTH15 - DEPTH35",-121.052204301075,15.8226170258524,459,-7.65058043832381,6.47815134868779e-13
"7","DEPTH15 - DEPTH45",-78.2981578947366,15.7360830599571,459,-4.9757082239848,9.10129560982575e-06
"8","DEPTH25 - DEPTH35",-56.1808406647119,16.3341903870497,459,-3.4394628281824,0.00571632614087136
"9","DEPTH25 - DEPTH45",-13.4267942583732,16.2503807993372,459,-0.826244899991566,0.922452067684588
"10","DEPTH35 - DEPTH45",42.7540464063387,16.0220020855896,459,2.66845842223378,0.0603068502663869
