"","contrast","estimate","SE","df","t.ratio","p.value"
"1","DEPTH5 - DEPTH15",22.3322727272728,17.0733221435972,459,1.30802151681111,0.686374212957388
"2","DEPTH5 - DEPTH25",-171.920454545455,17.6097872031269,459,-9.76277865043865,0
"3","DEPTH5 - DEPTH35",-55.9501466275658,17.3714841057,459,-3.22080406527887,0.0118967953176332
"4","DEPTH5 - DEPTH45",-50.1411483253586,17.282352236513,459,-2.90129188661158,0.0316990954677973
"5","DEPTH15 - DEPTH25",-194.252727272727,17.0733221435972,459,-11.3775588393953,0
"6","DEPTH15 - DEPTH35",-78.2824193548386,16.827423561384,459,-4.65207398323787,4.22186612454301e-05
"7","DEPTH15 - DEPTH45",-72.4734210526313,16.735394303886,459,-4.33054756503722,0.000177123828727255
"8","DEPTH25 - DEPTH35",115.970307917889,17.3714841057,459,6.67590098878404,7.09993508429818e-10
"9","DEPTH25 - DEPTH45",121.779306220096,17.282352236513,459,7.04645435722626,6.70563604643348e-11
"10","DEPTH35 - DEPTH45",5.80899830220727,17.0394704589692,459,0.340914250603929,0.997089287678353
